contact_threshold_px,mean_MLS,mean_MSS,mean_total_contacts,std_total_contacts
0,0.0,0.0,0.0,0.0
1,0.2719298245614035,0.0,0.2719298245614035,0.477378368276063
2,0.3508771929824561,1.4883040935672514,1.8391812865497077,1.7296406579831793
3,0.4298245614035088,1.9064327485380117,2.3362573099415203,1.9331423443778675
4,0.5058479532163743,2.2251461988304095,2.7309941520467835,2.1629047089560727
5,0.8070175438596491,2.6198830409356724,3.426900584795322,2.296032862361435
6,1.3654970760233918,3.280701754385965,4.646198830409356,2.5134185681591035
7,1.4853801169590644,3.6052631578947367,5.090643274853801,2.5722350462916608
8,1.5321637426900585,3.8157894736842106,5.347953216374269,2.597987923939762
9,1.5467836257309941,3.93859649122807,5.485380116959064,2.6125272876458956
10,1.567251461988304,3.97953216374269,5.546783625730995,2.6445048774556126
11,1.590643274853801,4.04093567251462,5.631578947368421,2.7063404142920677
12,1.605263157894737,4.067251461988304,5.6725146198830405,2.7213296934352047
13,1.6169590643274854,4.090643274853801,5.707602339181286,2.742497221248831
14,1.6257309941520468,4.119883040935672,5.745614035087719,2.7680987583944185
15,1.6374269005847952,4.137426900584796,5.7748538011695905,2.779092312992691
16,1.654970760233918,4.149122807017544,5.804093567251462,2.7865798358983604
17,1.6812865497076024,4.175438596491228,5.856725146198831,2.8459878288369063
18,1.713450292397661,4.195906432748538,5.909356725146199,2.8941188512498788
19,1.7923976608187135,4.2105263157894735,6.002923976608187,2.95865799213733
20,1.8216374269005848,4.230994152046784,6.052631578947368,2.9695683462395865
