repeat,file,frame,x,y,width,height,area_px,roi_mother_overlap_px,roi_mother_coverage_percent,roi_mother_inside_percent,roi_mother_iou,roi_x,roi_y,roi_width,roi_height,mother_iou,mother_area_gt_px,mother_area_pred_px,mother_area_deviation_percent,daughter_iou_mean_matched,daughter_iou_std_matched,daughter_area_deviation_mean_matched_percent,daughter_union_iou,daughter_total_area_deviation_percent,daughter_gt_count,daughter_pred_count,daughter_matched_count,daughter_unmatched_gt,daughter_unmatched_pred
1,Experiment-1335.czi,170,23,33,299,280,83720,27924.0,100.0,33.35403726708075,0.33354037267080744,23,33,299,280,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.23970249227958768,14.02718329954194,4,4,0,4,4
2,Experiment-1335.czi,170,10,19,330,296,97680,27924.0,100.0,28.587223587223587,0.28587223587223587,10,19,330,296,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.2954664983696224,15.033415934519786,4,3,0,4,3
3,Experiment-1335.czi,170,14,26,313,288,90144,27924.0,100.0,30.977103301384453,0.3097710330138445,14,26,313,288,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.2939902830587241,16.00210257565518,4,3,0,4,3
4,Experiment-1335.czi,170,22,25,291,297,86427,27924.0,100.0,32.3093477732653,0.323093477732653,22,25,291,297,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.24059591943728428,13.231208230081851,4,4,0,4,4
5,Experiment-1335.czi,170,21,30,323,291,93993,27924.0,100.0,29.708595320928154,0.29708595320928155,21,30,323,291,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.29107114603660145,16.17481414733048,4,3,0,4,3
6,Experiment-1335.czi,170,28,20,315,332,104580,27924.0,100.0,26.70109007458405,0.2670109007458405,28,20,315,332,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.2949503486160997,15.90448299166479,4,3,0,4,3
7,Experiment-1335.czi,170,28,23,288,304,87552,27924.0,100.0,31.89418859649123,0.3189418859649123,28,23,288,304,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.2941361916771753,15.04843433205677,4,3,0,4,3
8,Experiment-1335.czi,170,2,39,353,257,90721,27852.0,99.74215728405673,30.700719789243944,0.30676373729252254,2,39,353,257,0.4764081506159448,27852.0,29316.0,5.256355019388194,,,,0.2925030293451346,15.776826612600436,4,3,0,4,3
9,Experiment-1335.czi,170,17,41,335,332,111220,27752.0,99.38404240080217,24.95234670023377,0.24913817868428612,17,41,335,332,0.47764169752207347,27752.0,29316.0,5.63562986451427,,,,0.24093639033799483,12.658703328074525,4,4,0,4,4
10,Experiment-1335.czi,170,30,17,293,313,91709,27924.0,100.0,30.44848379112192,0.30448483791121916,30,17,293,313,0.4755239347304926,27924.0,29316.0,4.9849591749033095,,,,0.2931720515677224,16.96328001802208,4,3,0,4,3
